Hash,Merge timestamp,Has conflict?,Chunks,TODO,FIXME,HACK,XXX,DONE,UNDONE,ASAP,REMOVE,NOTE,BUG,ISSUE,ERROR,BRKEN,GLITCH,REVIEW,WTF,FUTURE
dd7227d62241e756291c3383d3c1a70ef95228cc,2022-02-01 08:58:24 +0000,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b79ca4188da7b599ebb6a6704f5be211dc1daa16,2022-01-27 10:29:30 +0000,YES,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a2c44efa6ad0064292156c928807ae7f046d8d2c,2022-01-24 16:03:16 +0000,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dbd6e31fc01c27d8d5e215b636f2ae5e03824665,2022-01-12 10:02:33 +0000,YES,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d92eebd74e1070eecbb0d340933a07e836d81845,2021-11-25 12:18:12 +0100,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2f57e0ab6b0485939b8a6445b3607bc2b99aac2a,2021-11-10 12:58:49 +0000,YES,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57664696a4f450a4a6416a754820e3db0ec72426,2021-09-23 11:13:56 +0100,YES,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5d700c6a7959efeed2b79b8eb6b2b369c2d72116,2021-09-06 12:28:04 +0100,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1c8b78818f31263828db0ba6dff9fd6818ead729,2019-11-18 11:09:46 +0000,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f7d0bad49bf6056999c9aaeaf19a5b41a9e8088b,2019-10-21 12:29:57 +0700,YES,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78e16ddd3f3ed6d2af5e0d031758ad2eb90b2a96,2019-10-11 11:31:31 +0100,YES,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7fc10106dc9deb134ab7fb5df1098d5103882e5d,2019-10-10 10:37:42 +0100,YES,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
587bd8accb7460869d6bf0fd6e4f1de2b658479d,2019-10-09 15:04:09 +0100,YES,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6028fde666283e0ad92ba2b8713fdf0c82483e94,2019-10-08 13:58:08 +0100,YES,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17521320513be9ade25bcd04987434f12e6f1bee,2019-09-10 09:50:15 +0100,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17589a1afeeffa73bfbfcddd82e58539dfe8d1c7,2014-07-23 15:52:41 +0200,YES,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4ad3c19e4b7651a7363e8b99f891ad456dfb0106,2014-06-24 21:15:54 +0100,YES,48,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d1f57a2569b2ee69c50165537937d1eb756937fc,2014-05-07 22:28:29 +0100,YES,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16c808063614e95efa922cfecf14c25db92fcb8d,2014-04-21 18:35:38 +0100,YES,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c746a88b2eccf61e344052d1462982a8967cd7f7,2014-04-07 22:26:53 +0100,YES,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79a333b4800bda655674f09b673971e960fb3aac,2014-03-16 20:52:44 +0000,YES,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
