Hash,Merge timestamp,Has conflict?,Chunks,TODO,FIXME,HACK,XXX,DONE,UNDONE,ASAP,REMOVE,NOTE,BUG,ISSUE,ERROR,BRKEN,GLITCH,REVIEW,WTF,FUTURE
49fbdba72af37eda233347931ff28abd4559f94b,2021-01-24 16:36:27 +0000,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ea3c9786f6efe7ebf1e4f3be68e99e776e756a2a,2021-01-16 17:35:36 +0100,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97e4e808766913e2c4c0a863cc68020f7506c7df,2020-08-22 16:15:10 +0200,YES,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78e3246a3ae865dc9d4b9e87c138ab63d84e1349,2020-06-02 13:24:10 +0200,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ef22c28e8464afa823fd584bea19836409b39ee7,2020-05-10 12:18:39 +0200,YES,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2d8c462a9a7019da440e1d096c45b95792a9ef60,2020-04-20 13:27:41 +0200,YES,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ca862c18a1ce1453b9f1fcb05c9cba81b2719083,2019-12-19 23:53:10 +0100,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b6285894ce6e3cd08c3f12e51118b39843430aa3,2019-09-08 15:29:55 +0200,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a3ce59c9653fa2b91241bb9d731b45fd690502a8,2019-06-04 14:03:39 +0200,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d10807927f4e1d36b0aa479737ebef7daef996f5,2019-06-04 13:53:38 +0200,YES,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3a7464696fcb4ee3c2aa449cde1b50f1fceecd28,2019-01-16 22:46:40 +0100,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4cf52255c20a7d29eb02bbf0b17885dfbf069c9b,2019-01-15 22:39:57 +0100,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e5c37b4a5b283da231fee64153f6fd5aabc9222e,2018-05-06 22:02:33 +0200,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a9c574fc821a67c133a136031cd738308644b49b,2018-04-30 16:41:50 +0200,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22961dd24a52fda9ec51107615bc586b333f494d,2017-06-07 15:22:44 -0400,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63f074b362baeaf11895eee7b6370353fa122b47,2016-11-08 21:34:22 +0100,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32f39677a3ee49bacb4a94a0d5f793890c492998,2016-04-07 22:20:23 +0200,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282dee2366838906d8da5c167c40abc7a99523ec,2016-02-13 20:41:54 +0100,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ab2cf1ab41d83e55f56c4fa7e5ad9b57ed8c2536,2016-01-24 08:05:41 -0500,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3e78546b28fec58c99de0c75e37a9a2047a131bc,2015-10-20 15:09:13 +0200,YES,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
999e001254322e76aba52bc49c1d06b71f686e41,2015-10-13 01:22:40 -0700,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60c84c822f9ebd231e196dcf206df28c4ddc5f04,2015-09-28 22:04:03 -0700,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ed4c25c118c9b5213f4efc71963d7f5d16ecebfd,2015-04-27 16:16:11 +1000,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c1d3af963786d9509e5ee4eb1db710788e49a3d8,2015-04-14 21:07:49 +0200,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89038f5540616821842fdef22878a2952e6779a1,2015-04-10 17:00:01 +0200,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c34d5766a849ce52c225d7a037a6a9bd3edf04bb,2015-03-22 21:05:23 +0100,YES,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6c2d9c7c9af2b7cd209ca2c53be106ea18c70249,2015-03-19 15:55:19 +0100,YES,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a1b41309523cfe2e44124a47b01bd90fd733ad40,2015-02-12 21:04:01 +0100,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61d31318e5172b017cbcbd86ca78995ce31ab521,2015-01-17 17:48:57 +0000,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b0db238827df0629fa6f6c7d1ec05fbe42a835f3,2015-01-05 11:41:56 +0100,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d98bcc64826076b89a982f0fd5f43f04f1837dd2,2014-12-06 19:07:37 +0100,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84d4079ed9b8c11f4793c05362844b43d8eb2fec,2014-11-12 22:39:45 +0100,YES,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b9f024ab4551e7180b4a79249cd719bcb08394d4,2014-10-06 22:58:58 +0200,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f5d3c1b0abdcac01c6d06d2309a73f4707ef478b,2014-09-21 20:50:44 +0900,YES,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0ff5bd284c452b749d059f0f76c0f7a82f1de401,2014-09-14 13:46:12 +0200,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3c6c1aa63937dc2a79d1b394b85a65764e5539c7,2014-07-23 18:19:37 +0200,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27657c17a26a847a936a1485308aade2afb31d5c,2014-06-28 22:00:26 +0200,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4f10ed45b11dc0f8ca28fe0aa20ad7696e56bd6b,2014-05-14 01:47:18 +0200,YES,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1509f1b8c53cbbe1ed59a867d4188225044d505b,2014-05-10 12:20:34 +0200,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7dcfcd87f003223730bf11c7c295225cd9062e77,2014-05-06 20:50:32 +0200,YES,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2fc85dfa19ba74e3b283f3ad6e993d370d1420e8,2014-03-21 16:32:02 +0000,YES,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5de1113a095799c04cdbbe7ac690348d6bd63dd9,2014-03-21 15:08:43 +0100,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fb8a152afdd3b3cf5db54f33e5e0fcbeb3226a80,2014-03-08 23:47:06 +0100,YES,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31937eadac4e66112421bd1419e62a40cbc09809,2014-03-07 15:27:37 +0100,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26181f4269a4bac96de19f19e7470a2a37ac1634,2014-02-14 20:09:33 +0100,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90f888dc50c7c0c4506cdcdd95b83a312e64f466,2014-02-12 23:08:46 +0100,YES,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3eb0258273820a002fc8d884d30a818eeddb0c71,2014-02-11 20:10:38 +0100,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7921764f06bf98e54924e7c450bb35639a44e669,2014-02-11 19:34:05 +0100,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b8fe6f2b55d79b8eebbdd0fe0a1b793c774e5b73,2014-02-02 11:59:10 -0500,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20545d665f280db81adbe07810fd91281f0118aa,2014-01-11 23:14:25 +0100,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
df642ce87167fe6ede51a6aac8ff4a09eaf4a966,2013-12-14 23:09:03 +0100,YES,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5db3f4168f23444be9408ff3ffe38dc7337fc6c3,2013-11-26 19:24:16 +0100,YES,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
725535587b0466a54fca63e799ea912f078471bc,2013-10-26 13:18:14 +0200,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e7fc99c5d7a26e15937a0ac12b3d8c55fdaca3c9,2013-10-06 15:28:07 +0200,YES,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
