Hash,Merge timestamp,Has conflict?,Chunks,TODO,FIXME,HACK,XXX,DONE,UNDONE,ASAP,REMOVE,NOTE,BUG,ISSUE,ERROR,BRKEN,GLITCH,REVIEW,WTF,FUTURE
9d4fd7a24991598aa2fcaec203dbba5c04d253d1,2019-08-26 10:12:18 -0700,YES,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4da836af71f035a25c26814e7f6aa04e0535f4af,2019-08-20 11:34:51 -0700,YES,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3ad50710a769838c9ae9c2d1669c5981e7639092,2019-08-20 11:00:02 -0700,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
833f20634868961f4786879ee18d94b06971f05f,2019-08-20 10:41:38 -0700,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85fbe3be3fa645734c68992bb0aa9bc756dab9ad,2019-08-15 10:14:34 -0700,YES,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44e410900da8ef7b5e7daf18e7a0bf61b6612247,2019-08-14 07:35:49 -0700,YES,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ad7458bb42d557f5d1d78fd561ab164740962cb0,2019-06-07 17:54:54 -0700,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c7580fcd3f713f391c6f5f3ceab7cd305a01a20a,2019-05-28 20:21:38 +0100,YES,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fa0139afbfcf9bfb25cd64e9ce45762b1d416e24,2019-05-26 10:47:55 -0700,YES,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94bebda8252a1d922a8e518a7f53c5d4f277dc44,2019-05-25 09:10:43 -0700,YES,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
381d292d8d683c3f589681b1c88b7a2aae169165,2019-05-17 15:07:09 +0100,YES,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40ed0ca8393b43c7e1bdac4b7f1585de2b25569b,2019-05-03 07:48:21 -0700,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba640df98294946f188fd8c35fa81122e6a88178,2019-04-22 10:47:34 -0700,YES,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
740993baa916e5482275825ac29fb0c3594018e2,2019-04-20 14:26:46 -0700,YES,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37dd1ec8f8411674ac4f762eb95c844df7de3310,2019-04-19 13:09:01 +0100,YES,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
388677fcbce398974b7dea1341096aaedddd3793,2019-04-08 20:50:58 +0100,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4d9e7e75c6e37d026c91444ef6120bc3fe642edb,2019-02-27 12:58:03 -0800,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f0664d552ccc5a6f03864f664bea6a646cf1e521,2018-08-02 17:31:34 -0400,YES,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ffbc2db0e7860ee1a96511578235dec7eaccc8d3,2017-09-25 17:06:40 -0700,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9ba0c8097f9015abcfe1bbbc0184c9033577219c,2017-06-15 00:34:49 +0100,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d5c2bdb92f9a93d4330130b7a872e2c01859141a,2017-06-14 07:55:30 -0700,YES,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4f17e8a03a8f0817c6ea44f63bdaf1d58eb50a8c,2017-06-14 14:01:31 +0100,YES,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b0a67c9fa9ffb945065fc96447cc53e282a3eec9,2017-06-13 07:35:03 -0700,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fec0004a31cf7551a0ea3977c84af352ca787392,2017-04-11 20:11:38 +0100,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8bc11649df767402c262b6c9b67c6dd811d42cd0,2017-03-01 12:32:36 +0000,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74a4730073570ff30629310a2683fffa8b80d307,2017-01-23 17:52:37 +0000,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61a922a642b4bf9a92db917d090fd3949d176d60,2017-01-06 19:39:14 +0000,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88296d994d8f151437a4292d2ea64e5bb2267544,2016-11-16 14:08:52 +0000,YES,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209b7522d99a8af36f8d9e06ce622c59b793e5a3,2016-01-14 18:38:07 +0800,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
edf4d24c499faf83ea16de25edc77b9cb522a7aa,2015-07-28 16:59:51 -0700,YES,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3ca5c15c1ee8375c7308e37d61228863ceeadcd8,2015-07-20 15:18:26 -0700,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a841b4f5fb2b26a7a46cc0a618aea764e7fd0e94,2015-06-17 16:06:37 -0700,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b5bcaba77fbe53cafd7c5f6b76752b09791caadf,2014-11-05 12:30:37 -0200,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f45d7534864b8e77bfa12e920c342bc290e26e02,2014-09-26 07:03:37 -0700,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
986f5a1a07dcc860ecb23295c6948762d16478ae,2014-08-11 10:18:08 -0700,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77150630e2f2832f83067a958b9aea194c68a126,2014-06-20 10:55:06 -0400,YES,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1e268c359152d04195b026a42dd703867bdec525,2014-05-23 23:01:25 -0700,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
765ee8e5d0e8c309c0e4d87ba15466c46e6b0138,2014-05-19 20:12:57 -0700,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b0f9f73e918f544601b97df52709ce83067e91a2,2014-03-11 17:52:20 +0800,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5d2f0b4e0752509cb147d363418df1b2543c89e1,2013-11-18 18:00:24 -0800,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d220ce71b53f74bc7ead832070f9c9b30cb98593,2013-11-03 15:43:56 -0500,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dbdf1cc296de40786146da4bdedd8172c9f555d7,2013-07-17 13:30:22 -0700,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f39a0f8e40a8aeb0f6d6e5e63be2a38a89f3fb5d,2013-06-28 16:42:59 -0700,YES,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43358157cff16e8945da9b816fcb858a59da81af,2013-06-28 14:30:47 -0700,YES,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
