Hash,Merge timestamp,Has conflict?,Chunks,TODO,FIXME,HACK,XXX,DONE,UNDONE,ASAP,REMOVE,NOTE,BUG,ISSUE,ERROR,BRKEN,GLITCH,REVIEW,WTF,FUTURE
ab370963f551f5bbb7a94dc1cfbce05552334a3c,2020-06-27 15:22:25 -0400,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8125731deba5a00e6cd8b769ad1ff8ae5b0a1a55,2019-11-23 18:47:31 -0500,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456f5372e686f83a8bea1025b64d624405a4d3e5,2019-10-16 21:27:15 -0400,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a821aa7a15d97263ea23054c78982fe8e36f983f,2019-09-08 20:36:05 -0400,YES,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8196c194dde0bcb32c017d980c103a8e51c7cd03,2019-09-07 15:04:40 -0400,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7912d7c90171db7b67b4ba0a7dd174ec8498a758,2019-08-04 12:33:39 -0400,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5c5339e71cd5bf8cb0767ab886fa322e4e8acd2a,2019-08-03 22:29:14 +0300,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eaec840e7764c827bcbacb5b81a814497a0497fb,2019-08-03 12:32:21 -0400,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bf54278e3b96b4411bea338805ec49640130e8cb,2019-06-27 00:27:36 +0300,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ede6ccce0a3e950dde83d33fd5b9b000c9c628ad,2019-06-25 12:52:35 -0400,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324be53a7056c0ea481759ec7eefa56042884e7e,2019-06-24 14:56:33 -0400,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b801c67403a90ac3c6a62fc3ca3f6b78a3528513,2019-06-24 14:40:20 -0400,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fe184a68f982128de9a6ffe9726a912a7b56aadb,2019-06-23 20:03:26 +0200,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92006133526417ff360c746a578a1a4d08ca99cc,2019-06-21 17:27:48 -0300,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3a384f004d6de4cd197f75b741555635b4613048,2019-06-18 11:08:36 -0400,YES,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9d9432133349e708cc07167eaef3e836de82da64,2019-06-16 15:54:32 -0400,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d270542aee13b095c3c6801a744261d84decbe31,2019-06-16 14:37:56 -0400,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8bff4517b523ad57d0618997024f2a03f8c476f8,2019-06-09 21:20:22 -0400,YES,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c1960f9ef8a71307e4811907e7d92114cffc4ed2,2019-06-09 16:39:30 -0400,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52733f3040808bbdbe49a34149ab15ee1b3d9271,2019-05-27 11:57:58 +0200,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285ed4f446e31f5670a5b6c042eb3c8f23347fb5,2019-05-26 14:09:50 +0200,YES,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3a4bfe40ad48fda885ab60b2306c2248d80f2eb7,2019-05-26 13:58:19 +0200,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98bd5a1916bb468c34a4ca29db57a49569da0a30,2019-05-04 11:13:18 -0400,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
de31170a404d5011f803bab1b1aacf551f5703f4,2019-05-04 00:02:37 -0400,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
050de82b29a02b5268e4fb91a64a3d7938ed850b,2019-04-24 23:20:34 -0400,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ae081af54c3129ffa42537ca058e89b65fce0f71,2019-04-22 20:10:29 -0700,YES,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b3a913a19adfb3f17d44e1283157952b198b92c1,2019-04-22 06:14:34 -0400,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74a5ef281189a70aef46161874edbe3e7d2621a5,2019-04-22 06:05:57 -0400,YES,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63f2187a891ad48c7fca9dfaeab7a5d0d1e02f44,2019-04-20 18:49:01 -0400,YES,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0b51718736ed972a330f4b390dce765e93c8b40d,2019-04-20 18:13:04 -0400,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4e09479a9fa0d8738fd64fa9df1fff93e7ea747a,2019-04-14 14:41:53 -0400,YES,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9a0b84745553b7b50741d3a2c7e356af2b30d671,2019-04-09 11:09:04 -0400,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
467cbc3bed1736d16c9ee987c24fe93a049da52f,2019-03-27 22:14:01 -0400,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
